company_id,type,rule_id,text,confidence_pct
BAJAJFINSV,con,C002,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88.0
BAJAJFINSV,con,C008,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.8
BAJAJFINSV,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
BAJAJFINSV,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.0
BAJAJFINSV,pro,P001,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,75.7
BAJAJFINSV,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75.6
BAJAJFINSV,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.7
BAJAJFINSV,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,72.8
BAJAJHLDNG,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
BAJAJHLDNG,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
BAJAJHLDNG,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
BAJAJHLDNG,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,86.6
BAJAJHLDNG,pro,P012,Growing asset base funded by internal accruals reflects self-sustaining growth,85.3
BAJAJHLDNG,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,77.9
BAJAJHLDNG,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,77.5
BAJAJHLDNG,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74.0
BAJFINANCE,con,C011,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,99.0
BAJFINANCE,con,C002,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88.0
BAJFINANCE,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82.3
BAJFINANCE,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,76.8
BAJFINANCE,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
BAJFINANCE,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82.6
BAJFINANCE,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79.4
BAJFINANCE,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,79.3
BAJFINANCE,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
BAJFINANCE,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.3
BANKBARODA,con,C011,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,99.0
BANKBARODA,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,87.6
BANKBARODA,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,78.9
BANKBARODA,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,99.0
BANKBARODA,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99.0
BANKBARODA,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,99.0
BANKBARODA,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.5
BANKBARODA,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,81.1
BANKBARODA,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.5
BEL,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
BEL,pro,P001,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,99.0
BEL,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
BEL,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,99.0
BEL,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.4
BHARTIARTL,con,C001,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,74.9
BHARTIARTL,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99.0
BHARTIARTL,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,97.2
BHARTIARTL,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,95.2
BHARTIARTL,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,88.4
BHEL,con,C011,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,92.6
BHEL,con,C002,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88.0
BHEL,con,C012,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,81.7
BHEL,con,C006,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,80.1
BHEL,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,78.8
BHEL,con,C008,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74.8
BHEL,pro,P000,The latest available evidence includes at least one stable operating or balance-sheet characteristic,61.0
BOSCHLTD,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
BOSCHLTD,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
BOSCHLTD,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,83.3
BOSCHLTD,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,80.9
BOSCHLTD,pro,P012,Growing asset base funded by internal accruals reflects self-sustaining growth,80.7
BOSCHLTD,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
BOSCHLTD,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,72.6
BPCL,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
BPCL,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,87.3
BPCL,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83.1
BPCL,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,75.8
BRITANNIA,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
BRITANNIA,pro,P001,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,99.0
BRITANNIA,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,84.8
BRITANNIA,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.4
CANBK,con,C011,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,99.0
CANBK,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,90.6
CANBK,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,78.7
CANBK,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,99.0
CANBK,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99.0
CANBK,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,99.0
CANBK,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,86.8
CANBK,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,81.9
CANBK,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,79.2
CANBK,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73.2
CHOLAFIN,con,C011,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,99.0
CHOLAFIN,con,C002,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88.0
CHOLAFIN,con,C008,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,82.9
CHOLAFIN,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,78.8
CHOLAFIN,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,74.7
CHOLAFIN,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.1
CHOLAFIN,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77.3
CHOLAFIN,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.9
CHOLAFIN,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.4
CHOLAFIN,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,73.1
CHOLAFIN,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,71.4
CIPLA,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,77.5
CIPLA,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
CIPLA,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,83.2
CIPLA,pro,P012,Growing asset base funded by internal accruals reflects self-sustaining growth,80.5
CIPLA,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
CIPLA,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,77.3
CIPLA,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.8
CIPLA,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.7
COALINDIA,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.2
COALINDIA,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
COALINDIA,pro,P001,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.3
COALINDIA,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,81.5
COALINDIA,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
COALINDIA,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,79.0
COALINDIA,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71.9
DABUR,con,C008,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,73.2
DABUR,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,86.0
DABUR,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
DABUR,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,77.7
DIVISLAB,con,C009,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,99.0
DIVISLAB,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.2
DIVISLAB,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
DIVISLAB,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,73.2
DLF,con,C012,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,82.1
DLF,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,76.3
DLF,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,90.8
DLF,pro,P012,Growing asset base funded by internal accruals reflects self-sustaining growth,79.9
DLF,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
DLF,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,78.0
DLF,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,76.8
DLF,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,74.3
DMART,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
DMART,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
DMART,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77.7
DMART,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.5
DMART,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.0
DMART,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,72.5
DRREDDY,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
DRREDDY,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
DRREDDY,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,82.4
DRREDDY,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,80.8
DRREDDY,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
DRREDDY,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.8
DRREDDY,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.4
DRREDDY,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,73.3
EICHERMOT,con,C008,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,73.1
EICHERMOT,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
EICHERMOT,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,82.9
EICHERMOT,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,81.6
EICHERMOT,pro,P012,Growing asset base funded by internal accruals reflects self-sustaining growth,79.5
EICHERMOT,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
EICHERMOT,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,71.6
EICHERMOT,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.2
GAIL,con,C008,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74.4
GAIL,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,84.5
GAIL,pro,P012,Growing asset base funded by internal accruals reflects self-sustaining growth,77.4
GODREJCP,con,C004,Company reported a net loss in the most recent financial year,96.0
GODREJCP,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,78.8
GODREJCP,pro,P000,The latest available evidence includes at least one stable operating or balance-sheet characteristic,61.0
GRASIM,con,C009,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,99.0
GRASIM,con,C008,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.6
GRASIM,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,88.2
GRASIM,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82.7
GRASIM,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,79.3
HAL,con,C008,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.4
HAL,pro,P001,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,99.0
HAL,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
HAL,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,87.8
HAL,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81.6
HAL,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,77.1
HAL,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,76.5
HAL,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,75.1
HAVELLS,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
HAVELLS,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,87.3
HAVELLS,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,74.4
HCLTECH,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,76.0
HCLTECH,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
HCLTECH,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
HCLTECH,pro,P001,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,76.8
HCLTECH,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,75.2
HDFCBANK,con,C011,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,99.0
HDFCBANK,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,76.4
HDFCBANK,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
HDFCBANK,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,81.3
HDFCBANK,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77.0
HDFCBANK,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.9
HDFCBANK,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,71.9
HDFCBANK,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70.4
HDFCLIFE,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72.4
HDFCLIFE,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
HDFCLIFE,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.2
HDFCLIFE,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,76.2
HEROMOTOCO,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,76.8
HEROMOTOCO,con,C012,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,74.8
HEROMOTOCO,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
HEROMOTOCO,pro,P012,Growing asset base funded by internal accruals reflects self-sustaining growth,85.9
HEROMOTOCO,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,80.4
HEROMOTOCO,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
HINDALCO,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72.4
HINDALCO,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
HINDALCO,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,76.2
HINDALCO,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,72.5
HINDUNILVR,con,C008,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,73.1
HINDUNILVR,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
HINDUNILVR,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,84.0
HINDUNILVR,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,81.3
HINDUNILVR,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
HINDUNILVR,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,71.6
ICICIBANK,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,96.3
ICICIBANK,con,C011,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,89.7
ICICIBANK,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,74.8
ICICIBANK,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
ICICIBANK,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,99.0
ICICIBANK,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99.0
ICICIBANK,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,99.0
ICICIBANK,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,77.7
ICICIBANK,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,77.4
ICICIBANK,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.3
ICICIGI,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.2
ICICIGI,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
ICICIGI,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,89.8
ICICIGI,pro,P012,Growing asset base funded by internal accruals reflects self-sustaining growth,81.4
ICICIGI,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
ICICIGI,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,77.8
ICICIPRULI,con,C006,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,79.5
ICICIPRULI,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
ICICIPRULI,pro,P012,Growing asset base funded by internal accruals reflects self-sustaining growth,83.3
ICICIPRULI,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.8
INDIGO,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,95.5
INDIGO,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
INDIGO,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,99.0
INDIGO,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99.0
INDIGO,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,99.0
INDIGO,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,99.0
INDIGO,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,81.1
INDIGO,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.3
INDUSINDBK,con,C011,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,99.0
INDUSINDBK,con,C003,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,86.8
INDUSINDBK,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77.7
INDUSINDBK,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,83.6
INDUSINDBK,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,78.6
INDUSINDBK,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,76.6
INDUSINDBK,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.1
INDUSINDBK,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70.9
